DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_752902,974,487,243.5,243.5,81.16666667,476,10.883,-79.9622
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_2_03,438_56_753902,1168,584,292,292,97.33333333,469,13.3562,-71.4808
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_754902,516,258,129,129,43,7,0,-100
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_755902,1090,545,272.5,272.5,90.83333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_756902,938,469,234.5,234.5,78.16666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_757902,364,182,91,91,30.33333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_758902,502,251,125.5,125.5,41.83333333,297,16.7331,-75.2212
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_2_03,438_56_759902,1052,526,263,263,87.66666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_783902,424,212,106,106,35.33333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_784902,676,338,169,169,56.33333333,86,2.9586,-79.1667
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_785902,432,216,108,108,36,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_786902,352,176,88,88,29.33333333,147,6.8182,-84.9057
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_787902,354,177,88.5,88.5,29.5,126,5.0847,-86.6667
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_788902,478,239,119.5,119.5,39.83333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_789902,220,110,55,55,18.33333333,54,1.8182,-92.8571
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_790902,1070,535,267.5,267.5,89.16666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_791902,498,249,124.5,124.5,41.5,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_792902,764,382,191,191,63.66666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_793902,964,482,241,241,80.33333333,0,0,0
